Population	Sample_no	Sample_id	Prediction	Lat	Lon
Egypt	4	GRC12076348	Egypt_2	26.66899333887231	30.873630920325844
Egypt	5	GRC12076414	Egypt_2	26.76541830121155	30.8266762646819
Egypt	6	GRC12076328	Egypt_3	26.77036876342263	30.826322672885986
Egypt	7	GRC12076330	Egypt_3	26.79217833601823	30.814733336588468
Egypt	8	GRC12076344	Egypt_3	26.742192889600926	30.840351798993115
Egypt	9	GRC12076347	Egypt_3	26.80845673386613	30.807627522520523
Egypt	10	GRC12076356	Egypt_3	26.79772241008648	30.81574768726531
Egypt	11	GRC12076413	Egypt_3	26.80054828767187	30.814584192824046
Egypt	12	GRC12076329	Egypt_4	26.79058447869458	30.820036453732286
Egypt	13	GRC12076346	Egypt_4	26.693611195558972	30.877202583739646
Egypt	14	GRC12076366	Egypt_4	26.70519190290522	30.87052090198477
Egypt	15	GRC12076370	Egypt_4	26.93200689732756	30.936843412922805
Ezhava	1	GRC12081959	Kapu_0	17.25790162885442	78.11662773647407
Finnish	1	GRC11075025	Finnish_1	63.99986727679155	24.559811451299847
Finnish	2	GRC11075031	Finnish_1	63.99986713998077	24.559805871958698
Finnish	3	GRC11075032	Finnish_2	63.99551410439088	24.55312436055943
Finnish	4	GRC11075033	Finnish_2	63.994804356765975	24.552616520722918
Finnish	5	GRC11075035	Finnish_2	63.99766325807047	24.556251920123675
Finnish	6	GRC11075027	Finnish_3	63.98867655562274	24.53962565749608
Finnish	7	GRC11075028	Finnish_3	63.9949026689168	24.55187086216244
Finnish	8	GRC11075036	Finnish_3	63.99753216173092	24.556328851773056
Finnish	9	GRC11075026	Finnish_4	63.90282298566168	24.047128737700803
Finnish	10	GRC11075029	Finnish_4	63.96709234041201	24.47184831157545
Finnish	11	GRC11075030	Finnish_4	63.98939184781828	24.53586774041889
Finnish	12	GRC11075034	Finnish_4	63.990235007748076	24.503996971170302
Georgian	1	GRC12076240	Georgians_3	39.10304667	42.14304667
Georgian	2	GRC12076252	Georgians_3	41.033569996969106	43.64965809445913
Georgian	3	GRC12076264	Georgians_3	41.3757953738243	44.41605362547486
Georgian	4	GRC12076276	Georgians_3	41.36188385976235	44.40190469652425
German	1	GRC11074516	German_1	51.25745472	14.64254528
German	2	GRC11074527	German_1	53.77587928	14.56675067758498
German	3	GRC11074513	German_2	52.22473361	13.67526639
German	4	GRC11074518	German_2	52.22473361	13.67526639
German	5	GRC11074514	UK_3	53.06750636	-3.0013970984867577
German	6	GRC11074515	German_3	52.13499183811554	13.323301839225708
German	7	GRC11074517	German_3	52.13415891934051	13.275573438446688
German	8	GRC11074519	German_3	51.82605955	13.35401908764201
German	9	GRC11074520	German_3	52.500093727261884	13.382633335622836
German	10	GRC11074521	German_3	51.851486494617845	12.44598455986963
German	11	GRC11074522	UK_3	53.20418858	-2.898327016636428
German	12	GRC11074523	German_3	52.04572416755874	13.370671048800652
German	13	GRC11074524	German_3	52.431645539465556	13.379734104350902
German	14	GRC11074526	German_3	51.78728136183561	13.140916724516511
German	15	GRC11074525	Romania_1	41.97217389	24.19134551120078
Gond_Ori	1	GRC12081944	Gond_Ori_0	22.40875780958769	72.54660699869032
Gond_Ori	2	GRC12081951	Gond_Ori_0	23.83446806	72.58539177892
Gond_Ori	3	GRC12081958	Gond_Ori_0	22.38986776896278	72.55621626609363
Greek	1	GRC11074503	Greek_1	37.010589157666175	24.406181682083574
Greek	2	GRC11074505	Greek_1	37.36752584	24.31580816
Greek	3	GRC11074506	Greek_1	37.72627220704254	23.80799210645987
Greek	4	GRC11074512	Greek_1	37.3275487	24.3557853
Greek	5	GRC11074499	Greek_2	37.56716757569923	23.83820654740682
Greek	6	GRC11074504	Greek_2	37.36213473	24.21598247006755
Greek	7	GRC11074498	Greek_3	37.52231734	24.023272287095878
Greek	8	GRC11074500	Italian_3	42.51123653	11.91876347
Greek	9	GRC11074510	Greek_3	37.41596176	24.05433014683581
Greek	10	GRC11074501	Italian_2	42.50767809	12.250431251966829
Greek	11	GRC11074502	Italian_3	42.69402884	11.73597116
Greek	12	GRC11074507	Greek_4	36.75111669	24.93221731
Greek	13	GRC11074508	Greek_4	37.36354661	24.31978739
Greek	14	GRC11074509	Bulgaria_1	42.21866666692416	22.824492075408656
Greek	15	GRC11074511	Greek_4	37.28589578	24.39743822
Guanajuato_Mexico	1	GRC12084590	Hidalgo_Mexico_3	21.06993201586271	-99.80050862171277
Guanajuato_Mexico	2	GRC12084591	Guanajuato_Mexico_0	21.849091013015308	-102.10986808593304
Guanajuato_Mexico	3	GRC12084592	Guanajuato_Mexico_0	23.30698752	-103.45698752
Gujarati	1	GRC12076453	Gujarati_1	26.716320509546204	73.60973678704906
Gujarati	2	GRC12076459	Gujarati_1	26.71236001127045	73.56507813917935
Gujarati	3	GRC12076461	Gujarati_1	26.619439115565157	73.76339756226812
Gujarati	4	GRC12076451	Gujarati_2	26.826122946530255	73.31848567966345
Gujarati	5	GRC12076452	Gujarati_2	26.62766718482891	73.7245811874559
Gujarati	6	GRC12076454	Gujarati_2	26.83961537935297	73.29328874083129
Gujarati	7	GRC12076457	Iyengar_Kar_0	12.16142244	81.19857756
Gujarati	8	GRC12076456	Gujarati_3	27.011909936374767	73.00858594844783
Gujarati	9	GRC12076458	Gujarati_3	26.964276341432743	73.07670081785444
Gujarati	10	GRC12076460	Gujarati_3	27.90056498	72.51113502
Gujarati	11	GRC12076462	Gujarati_3	27.3720000038616	72.32756553
Gujarati	12	GRC12076455	Gujarati_1	25.959821997781063	74.32561405526637
Halba	1	GRC12081946	Halba_0	34.59635725827764	36.05098141034083
Halba	2	GRC12081953	Halba_0	34.73344779642589	35.9630409596959
Hereroland_Namibia	1	GRC12084543	Tsumkwe_Namibia_0	-17.216646934862446	12.586572096148183
Hereroland_Namibia	2	GRC12084539	Kaokoveld_Namibia_3	-18.79592442	14.249344393430066
Hereroland_Namibia	3	GRC12084540	Johannesburg_Gauteng_RSA_0	-26.000000001389107	28.000000001240604
Hereroland_Namibia	4	GRC12084541	Kaokoveld_Namibia_3	-19.391299694087255	13.916853135013238
Hereroland_Namibia	5	GRC12084542	Hereroland_Namibia_2	-20.999243668517803	19.50138285077367
Hidalgo_Mexico	1	GRC12084596	Hidalgo_Mexico_1	20.756955079312927	-99.28513110770363
Hidalgo_Mexico	2	GRC12087863	Guanajuato_Mexico_0	21.32041926170386	-101.30815776575925
Hidalgo_Mexico	3	GRC12084593	Hidalgo_Mexico_2	21.10626891151482	-99.7561800949983
Hidalgo_Mexico	4	GRC12084595	Hidalgo_Mexico_2	20.643309702965446	-99.05826427664924
Hidalgo_Mexico	5	GRC12084597	Hidalgo_Mexico_3	21.10195891011558	-99.7096710607068
Hidalgo_Mexico	6	GRC12084598	Hidalgo_Mexico_3	21.82773424	-100.05773424
Hidalgo_Mexico	7	GRC12087864	Hidalgo_Mexico_3	20.816927008847838	-99.30522547659635
Hidalgo_Mexico	8	GRC12084594	Peru_3	-15.31040979	-73.78959021
Iberian	1	GRC11075038	Iberian_1	40.99649287975997	-3.6935767506298816
Iberian	2	GRC11075041	Iberian_1	41.44448283	-3.5467838370004108
Iberian	3	GRC11075042	Iberian_1	40.53599898157571	-3.7158970893089296
Iberian	4	GRC11075045	Iberian_1	40.694759047366226	-3.6961087619194926
Iberian	5	GRC11075046	Iberian_2	40.33524041676596	-3.7165923961730454
Iberian	6	GRC11075047	Iberian_2	40.31986034369518	-3.7170537484589543
Iberian	7	GRC11075048	Iberian_2	42.62620614	-1.9399153532112838
Iberian	8	GRC11075037	Iberian_4	41.65231721	-4.438942159326771
Iberian	9	GRC11075039	Iberian_4	40.701328120738786	-3.7177241671524914
Iberian	10	GRC11075040	Iberian_4	41.76838701	-3.822649231534415
Iberian	11	GRC11075043	Iberian_4	40.450984369990884	-3.72208872773084
Iberian	12	GRC11075044	Iberian_4	40.79714084950323	-3.730618906041854
Ingush	1	GRC12076289	Chechens_2	43.18360254902679	45.66325270519961
Ingush	2	GRC12076313	Ingush_3	43.51669597156255	44.7687083610025
Ingush	3	GRC12076301	Ingush_3	43.588030080029476	44.859237165573845
Ingush	4	GRC12076325	Ingush_3	43.24301161906729	44.78766978029086
Iran	1	GRC12076333	Iran_1	32.288295532376885	53.84168129445254
Iran	2	GRC12076337	Iran_1	32.211223409947955	54.077583780668625
Iran	3	GRC12076339	Iran_1	32.35012911959359	53.7776151554191
Iran	4	GRC12076350	Tajikistan_1	28.82150203	68.52407891196914
Iran	5	GRC12076334	Iran_3	31.58459919095386	54.517882587565296
Iran	6	GRC12076335	Iran_3	31.67558379203839	54.179131224442386
Iran	7	GRC12076340	Abkhazians_0	45.63176829	43.48489871
Iran	8	GRC12076349	Iran_3	32.23401158048469	53.83905089032831
Iran	9	GRC12076351	Abkhazians_0	43.13217598351331	42.48207587
Iran	10	GRC12076352	Iran_3	31.52460715974422	54.6971465972697
Iran	11	GRC12076384	Iran_3	29.3476989	56.38000638482629
Iran	12	GRC12076397	Iran_3	31.824881231706513	54.181768466685796
Iran	13	GRC12076332	Iran_4	32.42939101254575	53.69955880958367
Iran	14	GRC12076336	Iran_4	32.575075100119925	53.75446749132526
Iran	15	GRC12076338	Iran_4	32.47123949611388	53.716971510571916
Iran	16	GRC12076396	Iran_4	32.44568689830735	53.70676000214122
Italian	1	GRC11075109	Italian_1	42.32312474	12.348205871432706
Italian	2	GRC11075112	Greek_2	36.98145508	24.70187892
Italian	3	GRC11075114	Greek_1	37.85516551142996	23.761447990241173
Italian	4	GRC11075117	Italian_1	42.43386567	12.232268767630968
Italian	5	GRC11075120	Italian_1	42.60825814	11.866695517104835
Italian	6	GRC11075113	Italian_2	42.15934469347885	12.465036512061605
Italian	7	GRC11075115	Italian_2	42.30120253	12.300420922436249
Italian	8	GRC11075110	Greek_3	37.4457205	24.2376135
Italian	9	GRC11075111	Italian_3	42.55122824	11.87877176
Italian	10	GRC11075116	Italian_3	42.58384523	11.84615477
Italian	11	GRC11075118	Italian_3	42.20062202	12.438860912639635
Italian	12	GRC12083640	Greek_3	37.43667675	24.24665725
Italian	13	GRC12083641	Italian_3	42.4363161	11.9936839
Italian	14	GRC11075119	Italian_4	41.871622645043445	12.559445178643184
Italian	15	GRC12083639	Italian_4	41.87107154222432	12.559635815535646
Iyengar_Kar	1	GRC12081970	Iyengar_Kar_0	13.034505665602625	80.38859446839484
Iyengar_Kar	2	GRC12081997	Iyengar_Kar_0	12.919462651939883	80.62864471082877
Japan	1	GRC11075073	Japan_1	37.95198922194453	138.00341333001117
Japan	2	GRC11075074	Chinese_2	39.83059929	115.91940071
Japan	3	GRC11075075	Japan_1	37.75255854	138.04491890341646
Japan	4	GRC11075077	Japan_1	37.72254275	138.0721756526047
Japan	5	GRC11075081	Japan_1	37.79867077	138.02435417958338
Japan	6	GRC11075082	Chinese_2	39.55950047031814	116.1993244624241
Japan	7	GRC11075076	Japan_2	37.9005382	138.0380276357123
Japan	8	GRC11075079	Japan_2	37.88329582	138.0460252877702
Japan	9	GRC11075080	Japan_2	37.87079157	138.06904368330666
Japan	10	GRC11075083	Chinese_3	40.22666112	115.54906633574302
Japan	11	GRC11075078	Japan_4	37.905009380475875	138.00675708114662
Japan	12	GRC11075084	Japan_4	37.974236745639836	138.00183523199618
Johannesburg_Gauteng_RSA	1	GRC12084519	Underberg_KZN_RSA_0	-29.545359325211415	29.48372739661374
Johannesburg_Gauteng_RSA	2	GRC12084520	Hereroland_Namibia_2	-19.62624666	19.006151675162993
Kaokoveld_Namibia	1	GRC12084510	Hereroland_Namibia_2	-21.01587491125113	19.657838446891233
Kaokoveld_Namibia	2	GRC12084512	Kaokoveld_Namibia_3	-18.51948168	14.35958305635407
Kaokoveld_Namibia	3	GRC12084509	Kaokoveld_Namibia_3	-19.399854917010497	13.910111575191289
Kaokoveld_Namibia	4	GRC12084511	Kaokoveld_Namibia_3	-19.394008062299285	13.914283903551143
Kaokoveld_Namibia	5	GRC12084513	Kaokoveld_Namibia_3	-19.399229156486413	13.910597107947996
Kapu	1	GRC12081937	Valayar_0	10.511651534476409	80.3257417
Kapu	2	GRC12081983	Kapu_0	17.255791652749572	77.64693552652416
Kenya	1	GRC11075086	Kenya_1	-0.81215895	37.10784105
Kenya	2	GRC11075088	Kenya_1	-1.25796158	36.66203842
Kenya	3	GRC11075091	Kenya_1	-0.27111086730524137	37.6952490841359
Kenya	4	GRC11075092	Kenya_1	-0.58642788	37.33357212
Kenya	5	GRC11075095	Kenya_1	-0.4523897480044511	37.559664305469546
Kenya	6	GRC11075087	Kenya_2	-0.092332511710685	37.844252210728015
Kenya	7	GRC11075089	Kenya_2	-0.10859534319485196	37.82770290565481
Kenya	8	GRC11075093	Kenya_2	-0.26827944838077067	37.73746707844125
Kenya	9	GRC11075094	Kenya_2	-0.5265668437306891	37.4927932991063
Kenya	10	GRC11075096	Kenya_2	-0.1778882934587217	37.80597233847969
Kenya	11	GRC11075090	Kenya_1	-1.75853745	36.16146255
Kenya	12	GRC11075085	Kenya_2	-1.88815998	36.03184002
Kroonstad_Free_State_RSA	1	GRC12084534	Hereroland_Namibia_2	-20.969147425079747	19.533189530058326
Kroonstad_Free_State_RSA	2	GRC12084532	Southeastern_Namibia_1	-27.703716194612657	20.035094086575274
Kroonstad_Free_State_RSA	3	GRC12084531	Kroonstad_Free_State_RSA_3	-27.03656320073206	27.0266791765853
Kroonstad_Free_State_RSA	4	GRC12084533	Kroonstad_Free_State_RSA_3	-27.005610429829353	27.00448688505083
Kroonstad_Free_State_RSA	5	GRC12084535	Kroonstad_Free_State_RSA_3	-27.00096760844246	27.000756310860325
Kuwait	1	GRC12076376	Kuwait_1	26.579372849681953	48.072714645332915
Kuwait	2	GRC12076378	Kuwait_1	25.43715372	48.19138688130905
Kuwait	3	GRC12076379	Kuwait_1	28.429144067834667	47.88738842137426
Kuwait	4	GRC12076375	Iberian_1	40.809910661311584	-3.7126912418961284
Kuwait	5	GRC12076341	Kuwait_3	26.152917397736367	50.77226113
Kuwait	6	GRC12076342	Kuwait_3	28.395549711024806	48.52392312633514
Kuwait	7	GRC12076363	Kuwait_3	26.04958373	49.70382933602952
Kuwait	8	GRC12076374	Kuwait_3	25.99182927	50.722683565806484
Kuwait	9	GRC12076377	Kuwait_3	30.9299812524023	50.33470606
Kuwait	10	GRC12076380	Kuwait_3	30.164866412656693	50.41068976
Kuwait	11	GRC12076392	Lebanon_1	37.19569855	35.74055130435838
Kuwait	12	GRC12076394	Iran_3	31.413056383824507	54.60722450873037
Kuwait	13	GRC12076398	Kuwait_3	28.882271579711585	49.20724757325826
Kuwait	14	GRC12076354	Kuwait_4	28.387331876822987	47.77574455932781
Kuwait	15	GRC12076355	Kuwait_4	28.95736024304332	50.50373155792829
Kuwait	16	GRC12076364	Kuwait_4	24.05941488	49.479198647077425
Kuwait	17	GRC12076371	Kuwait_4	28.873864982162342	49.57257916323144
Kuwait	18	GRC12076388	Egypt_2	22.50188986	35.11811014
Lebanon	1	GRC12076368	Lebanon_1	34.126535739271056	36.0661521045916
Lebanon	2	GRC12076372	Georgians_3	40.05881544	43.09881544
Lebanon	3	GRC12076382	Lebanon_1	34.09940134645735	36.00562938678354
Lebanon	4	GRC12076385	Lebanon_1	34.61793369046615	36.03409065754749
Lebanon	5	GRC12076387	Georgians_3	40.93653951979068	43.98766220027162
Lebanon	6	GRC12076391	Lebanon_1	33.9300022686191	35.913792981963375
Lebanon	7	GRC12076362	Lebanon_2	34.199738703086034	35.92550378764643
Lebanon	8	GRC12076365	Lebanon_2	33.962333822897456	35.865614314632076
Lebanon	9	GRC12076367	Lebanon_2	33.88571483498806	35.85498394791229
Lebanon	10	GRC12076369	Lebanon_2	33.858745330067045	35.85760675514881
Lebanon	11	GRC12076373	Lebanon_2	33.99214687140314	35.83814094110759
Lebanon	12	GRC12076383	Lebanon_2	34.27706024882918	35.766304001386864
Lebanon	13	GRC12076386	Lebanon_2	34.31107418956991	35.78741929644448
Lebanon	14	GRC12076389	Lebanon_2	33.929535459999585	35.85144458928987
Lebanon	15	GRC12076390	Lebanon_2	33.85201357936532	35.85942557187797
Lebanon	16	GRC12076393	Lebanon_2	35.006628475231494	35.359966366456476
Lebanon	17	GRC12076395	Lebanon_2	34.528468768342684	35.579887813984456
Lebanon	18	GRC12076357	Lebanon_3	34.37047178507551	36.17042072576531
Lebanon	19	GRC12076358	Lebanon_3	34.04681285555312	35.875808674870605
Lebanon	20	GRC12076359	Lebanon_3	33.980873900322734	35.91250765249081
Lebanon	21	GRC12076360	Lebanon_3	33.9068519321015	35.889577576684516
Lebanon	22	GRC12076361	Egypt_3	26.54624873287299	31.429350891941414
Mahajanga_Madagascar	1	GRC12084557	Ambilobe_Madagascar_3	-19.54763042	48.14732006713648
Majhbi	1	GRC12081949	Majhbi_0	31.553967160952308	74.32680966119064
Majhbi	2	GRC12081994	Majhbi_0	31.5543779055211	74.32433236422112
Manakara_Madagascar	1	GRC12084550	Toliara_Madagascar_2	-23.16815400066228	43.841553685847664
Manakara_Madagascar	2	GRC12084547	Manakara_Madagascar_2	-22.23141525423283	47.99534817095425
Manakara_Madagascar	3	GRC12084548	Manakara_Madagascar_2	-22.219017462655064	48.003802552084295
Manakara_Madagascar	4	GRC12084549	Toliara_Madagascar_2	-21.876912353737037	45.30109493
Meitei	1	GRC12081947	Meitei_0	24.819056070179222	93.95566133596195
Meitei	2	GRC12081967	Meitei_0	24.76726429263413	93.96449632237912
Mogaveera	1	GRC12081943	Gujarati_3	27.48425572359171	72.17777074067833
Mongols	1	GRC12076318	Mongols_4	44.4690085759219	111.10594886896145
Mongols	2	GRC12076235	Mongols_2	45.00276855259863	110.99882183318567
Mongols	3	GRC12076271	Mongols_2	45.00055678059729	110.99905287995665
Mongols	4	GRC12076283	Mongols_2	45.00576677215729	110.9974038618284
Mongols	5	GRC12076259	Mongols_3	44.967444265831624	111.00220086124483
Mongols	6	GRC12076270	Mongols_3	44.9949035861382	111.00069112159414
Mongols	7	GRC12076294	Mongols_3	44.98987773035094	111.00134515831546
Mongols	8	GRC12076295	Mongols_3	44.99642423392634	111.0003251743404
Mongols	9	GRC12076307	Mongols_3	44.99337753420321	111.00013434942174
Mongols	10	GRC12076234	Mongols_4	44.996509660753915	111.0003522655551
Mongols	11	GRC12076246	Mongols_4	45.00101353489743	110.99908020649971
Morelos_Mexico	1	GRC12084600	Morelos_Mexico_1	18.440006083160437	-99.0400077089633
Morelos_Mexico	2	GRC12084602	Morelos_Mexico_1	18.440006813236145	-99.04000862806126
Morelos_Mexico	3	GRC12084599	Morelos_Mexico_1	19.29492071	-99.89492071
Morelos_Mexico	4	GRC12084601	QUECHUA_3	-17.77858561	-70.15712239
Munda	1	GRC12081960	Binjhal_0	22.552194102706537	88.36666360304802
Nadar_Cape	1	GRC12081936	Kapu_0	17.308752031321877	77.49165076862339
Naga	1	GRC12081978	Chinese_4	36.27928015	112.92928015
Nasioi_Bougainville	1	GRC12083608	Nasioi_Bougainville_0	-6.043053497701929	155.18304841112317
Nasioi_Bougainville	2	GRC12083609	Vanuatu_3	-20.16658243	170.71658243
Nasioi_Bougainville	3	GRC12083610	Nasioi_Bougainville_0	-3.99346074	153.13346074
Nasioi_Bougainville	4	GRC12083611	Nasioi_Bougainville_0	-3.93872158	153.07872158
Nasioi_Bougainville	5	GRC12083612	Nasioi_Bougainville_0	-4.905515298819857	154.1378897398922
Nasioi_Bougainville	6	GRC12083613	Papua_New_Guinea_highland_1	-0.59069022	140.64185472047956
Nasioi_Bougainville	7	GRC12083614	Papua_New_Guinea_highland_1	-0.59321382	140.63562848061247
Nasioi_Bougainville	8	GRC12083615	Nasioi_Bougainville_0	-4.09622054	153.23622054
Nasioi_Bougainville	9	GRC12083616	Papua_New_Guinea_coastal_2	-9.513083170342584	149.33975673056625
Nasioi_Bougainville	10	GRC12083617	Nasioi_Bougainville_0	-5.74567025785883	154.90530928279932
Nattukottai_Chettiar	1	GRC12081971	Majhbi_0	33.35208589269382	71.94355692
Papua_New_Guinea_coastal	1	GRC12083626	Papua_New_Guinea_coastal_1	-9.296236897917654	147.09884442022786
Papua_New_Guinea_coastal	2	GRC12083627	Papua_New_Guinea_coastal_1	-9.298525114196726	147.09969390033834
Papua_New_Guinea_coastal	3	GRC12083618	Papua_New_Guinea_coastal_2	-9.336209794827552	147.23938787189712
